X,Y,Z,Resistivity,Easting,Northing,Profile
94.5,0.0,0.0,169.85,464703.57692307694,5754410.592307692,9
95.5,0.0,0.0,168.82,464703.5512820513,5754409.561538462,9
96.5,0.0,0.0,180.03,464703.5256410256,5754408.530769231,9
97.5,0.0,0.0,155.35,464703.5,5754407.5,9
98.5,0.0,0.0,155.94,464703.4743589744,5754406.469230769,9
99.5,0.0,0.0,173.72,464703.4487179487,5754405.438461538,9
100.5,0.0,0.0,151.57,464703.4230769231,5754404.407692308,9
101.5,0.0,0.0,151.7,464703.39743589744,5754403.376923077,9
102.5,0.0,0.0,163.94,464703.3717948718,5754402.346153846,9
103.5,0.0,0.0,164.22,464703.3461538461,5754401.315384615,9
104.5,0.0,0.0,142.71,464703.3205128205,5754400.284615384,9
105.5,0.0,0.0,166.45,464703.2948717949,5754399.253846154,9
106.5,0.0,0.0,166.96,464703.2692307693,5754398.223076923,9
107.5,0.0,0.0,145.97,464703.2435897436,5754397.192307692,9
108.5,0.0,0.0,158.87,464703.21794871794,5754396.161538461,9
109.5,0.0,0.0,158.77,464703.1923076923,5754395.13076923,9
110.5,0.0,0.0,152.99,464703.1666666667,5754394.1,9
111.5,0.0,0.0,151.89,464703.141025641,5754393.069230769,9
112.5,0.0,0.0,160.07,464703.1153846154,5754392.038461538,9
113.5,0.0,0.0,157.56,464703.08974358975,5754391.007692307,9
114.5,0.0,0.0,160.52,464703.0641025641,5754389.976923077,9
115.5,0.0,0.0,165.9,464703.0384615384,5754388.946153847,9
116.5,0.0,0.0,167.06,464703.0128205128,5754387.915384616,9
117.5,0.0,0.0,168.27,464702.9871794872,5754386.884615385,9
118.5,0.0,0.0,167.48,464702.9615384616,5754385.853846154,9
119.5,0.0,0.0,170.26,464702.9358974359,5754384.823076923,9
120.5,0.0,0.0,167.05,464702.9102564103,5754383.792307693,9
121.5,0.0,0.0,168.46,464702.8846153846,5754382.761538462,9
122.5,0.0,0.0,161.83,464702.858974359,5754381.730769231,9
123.5,0.0,0.0,161.94,464702.8333333333,5754380.7,9
124.5,0.0,0.0,159.17,464702.8076923077,5754379.669230769,9
125.5,0.0,0.0,150.71,464702.78205128206,5754378.638461539,9
126.5,0.0,0.0,159.0,464702.7564102565,5754377.607692308,9
127.5,0.0,0.0,151.37,464702.7307692308,5754376.576923077,9
128.5,0.0,0.0,165.21,464702.7051282051,5754375.546153846,9
129.5,0.0,0.0,163.58,464702.6794871795,5754374.515384615,9
130.5,0.0,0.0,168.38,464702.6538461539,5754373.484615385,9
131.5,0.0,0.0,175.91,464702.6282051282,5754372.453846154,9
132.5,0.0,0.0,171.89,464702.60256410256,5754371.423076923,9
133.5,0.0,0.0,172.38,464702.57692307694,5754370.392307692,9
134.5,0.0,0.0,177.74,464702.5512820513,5754369.361538461,9
135.5,0.0,0.0,178.61,464702.5256410256,5754368.330769231,9
136.5,0.0,0.0,168.18,464702.5,5754367.3,9
137.5,0.0,0.0,178.71,464702.4743589744,5754366.269230769,9
138.5,0.0,0.0,178.71,464702.4487179487,5754365.238461538,9
139.5,0.0,0.0,181.96,464702.4230769231,5754364.207692307,9
2.5,0.0,-0.094,23616.0,464705.9358974359,5754505.423076923,9
3.5,0.0,-0.094,7654.7998,464705.9102564103,5754504.392307692,9
